Sensors' Acquisition [Hz]: Acc@26.0 
hh:mm:ss.ms, Annotation , AccX [mg], AccY, AccZ
01:02:34.086,,522,628,-57
01:02:34.123,,552,535,-70
01:02:34.160,,602,651,-239
01:02:34.197,,710,719,-298
01:02:34.234,,749,654,-291
01:02:34.271,,874,673,-342
01:02:34.308,,675,914,-398
01:02:34.346,,600,670,-358
01:02:34.383,,564,606,-357
01:02:34.420,,534,675,-384
01:02:34.457,,535,769,-373
01:02:34.494,,589,707,-425
01:02:34.531,,645,719,-350
01:02:34.568,,739,550,-358
01:02:34.605,,761,287,-325
01:02:34.642,,717,578,-618
01:02:34.679,,633,768,-662
01:02:34.716,,553,489,-558
01:02:34.753,,552,422,-556
01:02:34.790,,594,492,-489
01:02:34.827,,651,508,-447
01:02:34.864,,784,486,-268
01:02:34.901,,1138,554,-210
01:02:34.938,,1027,756,-324
01:02:34.975,,926,497,-25
01:02:35.012,,875,537,277
01:02:35.049,,788,427,209
01:02:35.086,,772,470,103
01:02:35.123,,813,422,31
01:02:35.160,,824,370,1
01:02:35.198,,850,358,8
01:02:35.235,,831,440,53
01:02:35.272,,750,414,83
01:02:35.309,,729,394,91
01:02:35.346,,773,425,144
01:02:35.383,,788,432,182
01:02:35.420,,755,364,151
01:02:35.457,,722,334,130
01:02:35.494,,669,389,164
01:02:35.531,,684,454,200
01:02:35.568,,787,479,193
01:02:35.605,,1081,476,58
01:02:35.642,,1131,588,2
01:02:35.679,,1110,591,-66
01:02:35.716,,1114,616,-52
01:02:35.753,,951,640,-13
01:02:35.790,,799,553,32
01:02:35.827,,760,483,27
01:02:35.864,,856,448,-18
01:02:35.901,,947,454,-54
01:02:35.938,,944,467,-61
01:02:35.975,,901,431,-65
01:02:36.013,,869,453,-87
01:02:36.050,,841,480,-118
01:02:36.087,,833,497,-113
01:02:36.124,,845,526,-119
01:02:36.161,,849,549,-117
01:02:36.198,,835,557,-104
01:02:36.235,,809,604,-77
01:02:36.272,,778,609,-53
01:02:36.309,,746,572,-1
01:02:36.346,,730,562,65
01:02:36.383,,869,538,60
01:02:36.420,,896,516,-1
01:02:36.457,,728,509,99
01:02:36.494,,731,581,233
01:02:36.531,,764,571,233
01:02:36.568,,747,444,143
01:02:36.605,,814,417,142
01:02:36.642,,959,475,183
01:02:36.679,,979,463,157
01:02:36.716,,895,442,177
01:02:36.753,,852,425,144
01:02:36.790,,843,416,115
01:02:36.827,,819,401,96
01:02:36.864,,773,408,88
01:02:36.902,,754,426,112
01:02:36.939,,792,418,94
01:02:36.976,,816,432,171
01:02:37.013,,743,382,210
01:02:37.050,,826,337,113
01:02:37.087,,921,426,110
01:02:37.124,,988,471,119
01:02:37.161,,1234,521,38
01:02:37.198,,1225,556,-7
01:02:37.235,,929,454,-28
01:02:37.272,,760,460,5
01:02:37.309,,777,423,-69
01:02:37.346,,902,417,-93
01:02:37.383,,977,412,-96
01:02:37.420,,918,426,-60
01:02:37.457,,867,431,-71
01:02:37.494,,859,461,-120
01:02:37.531,,870,476,-123
01:02:37.568,,919,506,-105
01:02:37.605,,956,498,-110
01:02:37.642,,971,440,-91
01:02:37.679,,968,393,-40
01:02:37.716,,923,401,37
01:02:37.753,,924,425,92
01:02:37.791,,1137,359,96
01:02:37.828,,1167,296,31
01:02:37.865,,799,380,115
01:02:37.902,,633,461,247
01:02:37.939,,655,430,370
01:02:37.976,,735,352,360
01:02:38.013,,808,360,322
01:02:38.050,,921,437,349
01:02:38.087,,901,421,285
01:02:38.124,,858,418,208
01:02:38.161,,844,444,163
01:02:38.198,,787,444,147
01:02:38.235,,741,428,118
01:02:38.272,,740,442,130
01:02:38.309,,702,417,142
01:02:38.346,,705,459,189
01:02:38.383,,754,471,220
01:02:38.420,,826,396,145
01:02:38.457,,1005,423,102
01:02:38.494,,1002,470,94
01:02:38.531,,1141,437,6
01:02:38.568,,1201,494,-38
01:02:38.605,,906,484,4
01:02:38.642,,721,442,79
01:02:38.679,,758,436,63
01:02:38.717,,826,448,12
01:02:38.754,,856,445,16
01:02:38.791,,887,434,14
01:02:38.828,,913,403,-10
01:02:38.865,,923,400,-21
01:02:38.902,,914,424,-23
01:02:38.939,,899,479,-53
01:02:38.976,,901,804,-69
01:02:39.013,,985,827,-62
01:02:39.050,,952,616,-8
01:02:39.087,,848,674,85
01:02:39.124,,723,673,169
01:02:39.161,,610,538,220
01:02:39.198,,593,453,264
01:02:39.235,,684,481,232
01:02:39.272,,641,536,236
01:02:39.309,,502,477,322
01:02:39.346,,606,383,400
01:02:39.383,,779,347,325
01:02:39.420,,890,342,206
01:02:39.457,,979,422,141
01:02:39.494,,996,476,132
01:02:39.531,,942,506,148
01:02:39.568,,905,501,143
01:02:39.605,,924,392,105
01:02:39.643,,876,557,114
01:02:39.680,,828,477,124
01:02:39.717,,814,483,147
01:02:39.754,,816,469,189
01:02:39.791,,818,443,205
01:02:39.828,,808,445,205
01:02:39.865,,821,433,197
01:02:39.902,,883,427,183
01:02:39.939,,1011,440,172
01:02:39.976,,949,405,121
01:02:40.013,,909,346,50
01:02:40.050,,951,349,15
01:02:40.087,,960,359,-18
01:02:40.124,,912,394,-17
01:02:40.161,,876,378,-22
01:02:40.198,,858,400,-38
01:02:40.235,,856,381,-31
01:02:40.272,,859,378,-19
01:02:40.309,,854,408,-1
01:02:40.346,,892,399,-4
01:02:40.383,,902,445,9
01:02:40.420,,905,440,21
01:02:40.457,,902,460,50
01:02:40.494,,901,455,43
01:02:40.531,,894,478,36
01:02:40.569,,843,495,48
01:02:40.606,,808,530,70
01:02:40.643,,886,481,33
01:02:40.680,,951,481,28
01:02:40.717,,931,442,0
01:02:40.754,,850,443,21
01:02:40.791,,799,499,46
01:02:40.828,,808,494,38
01:02:40.865,,878,495,4
01:02:40.902,,978,498,-25
01:02:40.939,,898,471,-9
01:02:40.976,,902,542,34
01:02:41.013,,881,497,52
01:02:41.050,,836,493,108
01:02:41.087,,826,504,141
01:02:41.124,,801,484,166
01:02:41.161,,809,456,172
01:02:41.198,,885,385,157
01:02:41.235,,958,362,124
01:02:41.272,,877,407,162
01:02:41.309,,806,421,235
01:02:41.346,,823,387,269
01:02:41.384,,884,361,273
01:02:41.421,,871,321,280
01:02:41.458,,865,360,296
01:02:41.495,,845,416,297
01:02:41.532,,757,438,292
01:02:41.569,,731,413,257
01:02:41.606,,743,476,231
01:02:41.643,,753,483,190
01:02:41.680,,828,511,175
01:02:41.717,,851,522,154
01:02:41.754,,843,499,153
01:02:41.791,,839,492,137
01:02:41.828,,799,477,125
01:02:41.865,,771,460,141
01:02:41.902,,790,423,122
01:02:41.939,,933,409,109
01:02:41.976,,992,436,126
01:02:42.013,,869,323,38
01:02:42.050,,941,387,-5
01:02:42.087,,1034,467,2
01:02:42.124,,913,372,-3
01:02:42.161,,811,277,36
01:02:42.198,,844,292,-62
01:02:42.235,,895,322,-109
01:02:42.273,,948,340,-57
01:02:42.310,,974,383,-90
01:02:42.347,,983,411,-112
01:02:42.384,,941,420,-103
01:02:42.421,,887,385,-125
01:02:42.458,,887,367,-125
01:02:42.495,,1004,323,-167
01:02:42.532,,1050,325,-178
