AccX [mg],AccY,AccZ,Ground Truth
-209,-100,1016,3
-189,-111,1014,3
-182,-118,1001,3
-187,-139,988,3
-196,-144,983,3
-191,-156,988,3
-189,-147,984,3
-184,-137,989,3
-184,-144,987,3
-183,-126,980,3
-196,-130,985,3
-202,-125,978,3
-208,-117,980,3
-211,-133,988,3
-198,-121,990,3
-188,-144,995,3
-186,-134,983,3
-203,-142,990,3
-206,-155,986,3
-206,-131,992,3
-195,-138,1003,3
-177,-144,1004,3
-171,-145,993,3
-180,-140,983,3
-184,-154,983,3
-161,-144,998,3
-131,-125,1006,3
-103,-143,1021,3
-91,-145,1003,3
-115,-155,999,3
-140,-155,993,3
-145,-129,997,3
-143,-146,1007,3
-126,-139,997,3
-128,-141,990,3
-134,-149,979,3
-137,-140,980,3
-132,-154,993,3
-129,-155,989,3
-139,-155,999,3
-148,-158,1004,3
-150,-146,992,3
-152,-159,998,3
-144,-151,1001,3
-136,-147,1006,3
-128,-152,1001,3
-129,-156,993,3
-146,-153,998,3
-149,-146,1002,3
-149,-137,996,3
-141,-143,998,3
-137,-136,993,3
-143,-129,992,3
-143,-140,991,3
-149,-131,986,3
-156,-142,986,3
-150,-129,991,3
-145,-135,997,3
-130,-140,995,3
-136,-141,994,3
-143,-152,993,3
-141,-138,991,3
-142,-144,1001,3
-137,-156,995,3
-137,-154,992,3
-144,-160,991,3
-152,-151,990,3
-152,-156,1000,3
-135,-146,995,3
-129,-157,1003,3
-125,-182,993,3
-139,-169,992,3
-153,-154,988,3
-162,-171,991,3
-166,-179,982,3
-181,-170,986,3
-188,-166,980,3
-198,-174,979,3
-198,-174,975,3
-197,-157,977,3
-207,-184,975,3
-213,-171,968,3
-233,-162,971,3
-239,-200,980,3
-236,-200,981,3
-233,-171,981,3
-227,-174,978,3
-240,-177,974,3
-260,-189,969,3
-256,-204,972,3
-253,-188,971,3
-249,-176,978,3
-254,-209,977,3
-256,-221,961,3
-271,-194,961,3
-286,-206,962,3
-290,-219,963,3
-278,-192,971,3
-273,-192,967,3
-278,-226,959,3
-292,-221,952,3
-305,-204,954,3
-308,-200,966,3
-293,-211,965,3
-294,-213,960,3
-302,-209,961,3
-311,-206,954,3
-319,-215,959,3
-314,-209,955,3
-317,-205,953,3
-330,-215,951,3
-347,-202,941,3
-364,-218,953,3
-366,-215,951,3
-345,-182,959,3
-336,-207,972,3
-329,-202,952,3
-344,-214,952,3
-360,-217,940,3
-358,-205,955,3
-341,-215,962,3
-330,-215,962,3
-339,-218,954,3
-347,-209,944,3
-356,-215,945,3
-348,-214,951,3
-334,-219,963,3
-319,-218,961,3
-336,-213,954,3
-339,-220,959,3
-352,-197,954,3
-359,-215,965,3
-348,-205,966,3
-348,-194,961,3
-337,-207,948,3
-345,-200,945,3
-356,-210,948,3
-368,-203,955,3
-363,-215,964,3
-333,-198,970,3
-310,-209,985,3
-301,-211,968,3
-306,-203,969,3
-306,-214,947,3
-310,-180,945,3
-311,-197,963,3
-308,-176,960,3
-322,-186,986,3
-319,-168,965,3
-326,-179,978,3
-319,-196,958,3
-329,-190,953,3
-335,-226,943,3
-339,-195,930,3
-351,-190,924,3
-360,-188,924,3
-345,-170,914,3
-368,-157,934,3
-365,-152,942,3
-375,-148,968,3
-360,-162,989,3
-351,-161,985,3
-334,-191,979,3
-331,-198,964,3
-354,-207,974,3
-336,-202,982,3
-348,-194,983,3
