Sensors' Acquisition [Hz]: Acc@26.0 
hh:mm:ss.ms, Annotation , AccX [mg], AccY, AccZ
14:53:38.731,,-13,365,936
14:53:38.768,,-5,356,932
14:53:38.805,,-15,353,935
14:53:38.842,,-29,353,932
14:53:38.879,,-25,361,944
14:53:38.916,,-3,372,943
14:53:38.953,,8,361,919
14:53:38.990,,2,371,914
14:53:39.027,,3,367,927
14:53:39.064,,-5,375,932
14:53:39.101,,-17,374,947
14:53:39.138,,3,374,959
14:53:39.175,,19,356,911
14:53:39.212,,15,365,911
14:53:39.249,,15,398,944
14:53:39.286,,9,399,949
14:53:39.323,,-11,402,937
14:53:39.360,,-4,370,908
14:53:39.397,,18,357,910
14:53:39.434,,13,385,929
14:53:39.471,,-12,384,938
14:53:39.508,,-25,391,942
14:53:39.545,,-20,334,914
14:53:39.582,,-12,321,923
14:53:39.619,,-13,351,941
14:53:39.656,,-17,360,940
14:53:39.693,,-14,390,920
14:53:39.730,,5,388,925
14:53:39.767,,16,375,930
14:53:39.804,,-3,368,925
14:53:39.841,,-20,384,945
14:53:39.878,,-4,395,946
14:53:39.915,,17,373,914
14:53:39.952,,16,392,921
14:53:39.989,,10,380,928
14:53:40.026,,-7,387,925
14:53:40.063,,-19,402,940
14:53:40.100,,-1,376,934
14:53:40.137,,13,360,929
14:53:40.174,,2,355,924
14:53:40.211,,-7,369,943
14:53:40.248,,-12,374,966
14:53:40.285,,-15,350,939
14:53:40.322,,-10,373,928
14:53:40.359,,12,386,941
14:53:40.396,,17,360,914
14:53:40.433,,-1,361,931
14:53:40.470,,-3,376,931
14:53:40.507,,6,370,920
14:53:40.544,,13,351,918
14:53:40.582,,16,358,906
14:53:40.619,,19,399,932
14:53:40.656,,9,385,922
14:53:40.693,,-1,372,908
14:53:40.730,,7,376,918
14:53:40.767,,22,365,917
14:53:40.804,,22,381,944
14:53:40.841,,12,391,949
14:53:40.878,,15,370,920
14:53:40.915,,21,381,930
14:53:40.952,,28,383,937
14:53:40.989,,13,383,934
14:53:41.026,,-6,399,931
14:53:41.063,,4,388,930
14:53:41.100,,23,371,934
14:53:41.137,,16,376,923
14:53:41.174,,20,362,933
14:53:41.211,,27,380,913
14:53:41.248,,19,393,910
14:53:41.285,,21,375,936
14:53:41.322,,18,379,926
14:53:41.359,,19,395,929
14:53:41.396,,14,394,922
14:53:41.433,,13,373,916
14:53:41.470,,19,385,943
14:53:41.507,,17,381,946
14:53:41.544,,14,359,943
14:53:41.581,,5,388,926
14:53:41.618,,3,355,912
14:53:41.655,,-10,371,935
14:53:41.692,,-12,397,930
14:53:41.729,,0,362,914
14:53:41.766,,17,382,937
14:53:41.803,,26,361,923
14:53:41.840,,5,366,949
14:53:41.877,,-10,386,939
14:53:41.914,,1,348,912
14:53:41.951,,28,404,944
14:53:41.988,,37,387,930
14:53:42.025,,11,388,936
14:53:42.062,,0,387,928
14:53:42.099,,13,364,909
14:53:42.136,,30,405,944
14:53:42.173,,38,380,923
14:53:42.210,,27,372,919
14:53:42.247,,15,410,917
14:53:42.284,,23,359,918
14:53:42.321,,1,389,929
14:53:42.358,,-15,412,914
14:53:42.395,,-2,351,909
14:53:42.432,,6,328,910
14:53:42.469,,8,357,930
14:53:42.506,,5,360,939
14:53:42.543,,-1,374,936
14:53:42.580,,0,374,917
14:53:42.617,,5,370,919
14:53:42.654,,-1,376,945
14:53:42.691,,-1,388,943
14:53:42.728,,8,389,947
14:53:42.765,,30,400,954
14:53:42.802,,31,384,931
14:53:42.839,,7,390,933
14:53:42.876,,0,392,929
14:53:42.913,,8,378,937
14:53:42.950,,8,406,943
14:53:42.987,,0,380,919
14:53:43.024,,-3,358,910
14:53:43.061,,-11,358,912
14:53:43.098,,-15,370,928
14:53:43.135,,-13,370,934
14:53:43.173,,0,354,922
14:53:43.209,,15,357,926
14:53:43.247,,13,365,927
14:53:43.284,,-6,365,929
14:53:43.321,,-15,375,944
14:53:43.358,,2,378,945
14:53:43.395,,3,381,920
14:53:43.432,,2,366,917
14:53:43.469,,10,388,942
14:53:43.506,,0,394,934
14:53:43.543,,-4,404,934
14:53:43.580,,14,382,938
14:53:43.617,,24,376,917
14:53:43.654,,5,382,935
14:53:43.691,,-5,406,946
14:53:43.728,,-2,383,937
14:53:43.765,,3,384,935
14:53:43.802,,8,370,928
14:53:43.839,,5,352,922
14:53:43.876,,-8,371,935
14:53:43.913,,-5,390,936
14:53:43.950,,6,362,913
